WCC_ID,Wikidata_entity,QLIT_entity
259,http://www.wikidata.org/entity/Q123851314,https://queerlit.dh.gu.se/qlit/v1/kb67on35
260,http://www.wikidata.org/entity/Q1053501,https://queerlit.dh.gu.se/qlit/v1/rb83rq15
261,http://www.wikidata.org/entity/Q123851631,https://queerlit.dh.gu.se/qlit/v1/uc45qk12
262,http://www.wikidata.org/entity/Q273972,https://queerlit.dh.gu.se/qlit/v1/na03ov93
263,http://www.wikidata.org/entity/Q123851663,https://queerlit.dh.gu.se/qlit/v1/vn20br71
264,http://www.wikidata.org/entity/Q134154,https://queerlit.dh.gu.se/qlit/v1/gz04zi19
265,http://www.wikidata.org/entity/Q10485247,https://queerlit.dh.gu.se/qlit/v1/sh97pd06
267,http://www.wikidata.org/entity/Q11122599,https://queerlit.dh.gu.se/qlit/v1/ys42op85
270,http://www.wikidata.org/entity/Q17422,https://queerlit.dh.gu.se/qlit/v1/jw48ie23
271,http://www.wikidata.org/entity/Q12338229,https://queerlit.dh.gu.se/qlit/v1/of81kq28
272,http://www.wikidata.org/entity/Q1977453,https://queerlit.dh.gu.se/qlit/v1/xp34my36
274,http://www.wikidata.org/entity/Q51402,https://queerlit.dh.gu.se/qlit/v1/rx72ig85
278,http://www.wikidata.org/entity/Q123851469,https://queerlit.dh.gu.se/qlit/v1/ps21xc19
279,http://www.wikidata.org/entity/Q202833,https://queerlit.dh.gu.se/qlit/v1/ci78xa22
280,http://www.wikidata.org/entity/Q294949,https://queerlit.dh.gu.se/qlit/v1/ph69wb81
281,http://www.wikidata.org/entity/Q123851347,https://queerlit.dh.gu.se/qlit/v1/li23qw02
283,http://www.wikidata.org/entity/Q12198,https://queerlit.dh.gu.se/qlit/v1/lx03gj31
284,http://www.wikidata.org/entity/Q43405,https://queerlit.dh.gu.se/qlit/v1/wk00ux87
286,http://www.wikidata.org/entity/Q510866,https://queerlit.dh.gu.se/qlit/v1/rc36vu96
287,http://www.wikidata.org/entity/Q873072,https://queerlit.dh.gu.se/qlit/v1/lq31ck45
288,http://www.wikidata.org/entity/Q1035954,https://queerlit.dh.gu.se/qlit/v1/zp45ez52
289,http://www.wikidata.org/entity/Q2427941,https://queerlit.dh.gu.se/qlit/v1/uc52sc28
291,http://www.wikidata.org/entity/Q7307,https://queerlit.dh.gu.se/qlit/v1/ea97yu27
297,http://www.wikidata.org/entity/Q747592,https://queerlit.dh.gu.se/qlit/v1/iq68sd16
298,http://www.wikidata.org/entity/Q123851741,https://queerlit.dh.gu.se/qlit/v1/yp11tl51
299,http://www.wikidata.org/entity/Q138686,https://queerlit.dh.gu.se/qlit/v1/nx94fc98
300,http://www.wikidata.org/entity/Q327538,https://queerlit.dh.gu.se/qlit/v1/qw51tf42
301,http://www.wikidata.org/entity/Q517807,https://queerlit.dh.gu.se/qlit/v1/fs65mg77
302,http://www.wikidata.org/entity/Q10816,https://queerlit.dh.gu.se/qlit/v1/jk79xh22
303,http://www.wikidata.org/entity/Q19509201,https://queerlit.dh.gu.se/qlit/v1/ae46oh82
304,http://www.wikidata.org/entity/Q31207,https://queerlit.dh.gu.se/qlit/v1/qj90xo54
305,http://www.wikidata.org/entity/Q459409,https://queerlit.dh.gu.se/qlit/v1/yf82lc16
306,http://www.wikidata.org/entity/Q1761413,https://queerlit.dh.gu.se/qlit/v1/tw40vo62
308,http://www.wikidata.org/entity/Q123851390,https://queerlit.dh.gu.se/qlit/v1/mz21dd20
309,http://www.wikidata.org/entity/Q663016,https://queerlit.dh.gu.se/qlit/v1/me04wx73
312,http://www.wikidata.org/entity/Q123851055,https://queerlit.dh.gu.se/qlit/v1/av87kj76
313,http://www.wikidata.org/entity/Q208099,https://queerlit.dh.gu.se/qlit/v1/kp91xn92
314,http://www.wikidata.org/entity/Q200117,https://queerlit.dh.gu.se/qlit/v1/gx43ps05
316,http://www.wikidata.org/entity/Q183548,https://queerlit.dh.gu.se/qlit/v1/xl67uc46
317,http://www.wikidata.org/entity/Q123851062,https://queerlit.dh.gu.se/qlit/v1/bf47oe08
318,http://www.wikidata.org/entity/Q1098028,https://queerlit.dh.gu.se/qlit/v1/tq80uf58
320,http://www.wikidata.org/entity/Q4620674,https://queerlit.dh.gu.se/qlit/v1/cc01go96
321,http://www.wikidata.org/entity/Q1141526,https://queerlit.dh.gu.se/qlit/v1/cy12sh61
325,http://www.wikidata.org/entity/Q123851479,https://queerlit.dh.gu.se/qlit/v1/px55pp67
328,http://www.wikidata.org/entity/Q179415,https://queerlit.dh.gu.se/qlit/v1/ng97ok68
330,http://www.wikidata.org/entity/Q30072520,https://queerlit.dh.gu.se/qlit/v1/tx04hr81
331,http://www.wikidata.org/entity/Q123851065,https://queerlit.dh.gu.se/qlit/v1/bi99oj90
332,http://www.wikidata.org/entity/Q903453,https://queerlit.dh.gu.se/qlit/v1/ve99hw59
333,http://www.wikidata.org/entity/Q123851597,https://queerlit.dh.gu.se/qlit/v1/sl84ac44
334,http://www.wikidata.org/entity/Q1527023,https://queerlit.dh.gu.se/qlit/v1/kn67ju07
335,http://www.wikidata.org/entity/Q1076509,https://queerlit.dh.gu.se/qlit/v1/cm18bw55
336,http://www.wikidata.org/entity/Q191778,https://queerlit.dh.gu.se/qlit/v1/jc34hl12
338,http://www.wikidata.org/entity/Q123851234,https://queerlit.dh.gu.se/qlit/v1/hq85ud85
339,http://www.wikidata.org/entity/Q9384,https://queerlit.dh.gu.se/qlit/v1/ge40xr58
342,http://www.wikidata.org/entity/Q11920938,https://queerlit.dh.gu.se/qlit/v1/uh63yy69
345,http://www.wikidata.org/entity/Q123851252,https://queerlit.dh.gu.se/qlit/v1/if59po81
348,http://www.wikidata.org/entity/Q123851047,https://queerlit.dh.gu.se/qlit/v1/ao42ia99
354,http://www.wikidata.org/entity/Q1707435,https://queerlit.dh.gu.se/qlit/v1/wb24sl26
356,http://www.wikidata.org/entity/Q180225,https://queerlit.dh.gu.se/qlit/v1/fj02md55
359,http://www.wikidata.org/entity/Q442358,https://queerlit.dh.gu.se/qlit/v1/mc07qj43
360,http://www.wikidata.org/entity/Q3851652,https://queerlit.dh.gu.se/qlit/v1/hj31eb45
361,http://www.wikidata.org/entity/Q123851393,https://queerlit.dh.gu.se/qlit/v1/nc14hs94
362,http://www.wikidata.org/entity/Q49773,https://queerlit.dh.gu.se/qlit/v1/sw59hr91
364,http://www.wikidata.org/entity/Q7675376,https://queerlit.dh.gu.se/qlit/v1/hv71in35
365,http://www.wikidata.org/entity/Q308857,https://queerlit.dh.gu.se/qlit/v1/br29ok75
367,http://www.wikidata.org/entity/Q625145,https://queerlit.dh.gu.se/qlit/v1/mg46bp53
368,http://www.wikidata.org/entity/Q123851746,https://queerlit.dh.gu.se/qlit/v1/yu17am57
369,http://www.wikidata.org/entity/Q123851627,https://queerlit.dh.gu.se/qlit/v1/tz25ps34
372,http://www.wikidata.org/entity/Q318529,https://queerlit.dh.gu.se/qlit/v1/um93rl06
373,http://www.wikidata.org/entity/Q1072080,https://queerlit.dh.gu.se/qlit/v1/zo32gs01
374,http://www.wikidata.org/entity/Q6636,https://queerlit.dh.gu.se/qlit/v1/cr97jg35
376,http://www.wikidata.org/entity/Q213456,https://queerlit.dh.gu.se/qlit/v1/op26io85
377,http://www.wikidata.org/entity/Q210604,https://queerlit.dh.gu.se/qlit/v1/dq66qs98
381,http://www.wikidata.org/entity/Q123851331,https://queerlit.dh.gu.se/qlit/v1/ku32od34
383,http://www.wikidata.org/entity/Q48264,https://queerlit.dh.gu.se/qlit/v1/op23ar73
385,http://www.wikidata.org/entity/Q109501952,https://queerlit.dh.gu.se/qlit/v1/zq29sy82
387,http://www.wikidata.org/entity/Q123851044,https://queerlit.dh.gu.se/qlit/v1/ai05xa65
388,http://www.wikidata.org/entity/Q3603531,https://queerlit.dh.gu.se/qlit/v1/jw97cl99
393,http://www.wikidata.org/entity/Q123851665,https://queerlit.dh.gu.se/qlit/v1/vr41yw40
394,http://www.wikidata.org/entity/Q26791,https://queerlit.dh.gu.se/qlit/v1/vs11js01
395,http://www.wikidata.org/entity/Q2672163,https://queerlit.dh.gu.se/qlit/v1/xw31re99
396,http://www.wikidata.org/entity/Q264965,https://queerlit.dh.gu.se/qlit/v1/px93xp25
398,http://www.wikidata.org/entity/Q123851329,https://queerlit.dh.gu.se/qlit/v1/kq81ui59
401,http://www.wikidata.org/entity/Q123851474,https://queerlit.dh.gu.se/qlit/v1/pt39jk21
402,http://www.wikidata.org/entity/Q640990,https://queerlit.dh.gu.se/qlit/v1/vn09ak57
403,http://www.wikidata.org/entity/Q123851747,https://queerlit.dh.gu.se/qlit/v1/yv06is50
407,http://www.wikidata.org/entity/Q15808,https://queerlit.dh.gu.se/qlit/v1/an00td75
408,http://www.wikidata.org/entity/Q210749,https://queerlit.dh.gu.se/qlit/v1/ex44dm42
409,http://www.wikidata.org/entity/Q123851572,https://queerlit.dh.gu.se/qlit/v1/rw98mz62
410,http://www.wikidata.org/entity/Q36224,https://queerlit.dh.gu.se/qlit/v1/kx15ll15
411,http://www.wikidata.org/entity/Q28129894,https://queerlit.dh.gu.se/qlit/v1/qk34rm23
415,http://www.wikidata.org/entity/Q152910,https://queerlit.dh.gu.se/qlit/v1/am48aq94
419,http://www.wikidata.org/entity/Q1531507,https://queerlit.dh.gu.se/qlit/v1/cj81yo60
422,http://www.wikidata.org/entity/Q152213,https://queerlit.dh.gu.se/qlit/v1/ax27ow53
423,http://www.wikidata.org/entity/Q808074,https://queerlit.dh.gu.se/qlit/v1/kb55ra29
424,http://www.wikidata.org/entity/Q3110090,https://queerlit.dh.gu.se/qlit/v1/ts00ew43
425,http://www.wikidata.org/entity/Q2706246,https://queerlit.dh.gu.se/qlit/v1/bf78mj81
427,http://www.wikidata.org/entity/Q43812,https://queerlit.dh.gu.se/qlit/v1/gi07re10
428,http://www.wikidata.org/entity/Q392963,https://queerlit.dh.gu.se/qlit/v1/vr46nj48
429,http://www.wikidata.org/entity/Q1377445,https://queerlit.dh.gu.se/qlit/v1/lf34bt23
431,http://www.wikidata.org/entity/Q123851725,https://queerlit.dh.gu.se/qlit/v1/ye70mb49
434,http://www.wikidata.org/entity/Q168210,https://queerlit.dh.gu.se/qlit/v1/ly14nd30
437,http://www.wikidata.org/entity/Q123851126,https://queerlit.dh.gu.se/qlit/v1/de29wy54
438,http://www.wikidata.org/entity/Q123851722,https://queerlit.dh.gu.se/qlit/v1/ye03oa57
440,http://www.wikidata.org/entity/Q3733713,https://queerlit.dh.gu.se/qlit/v1/ya81tb87
447,http://www.wikidata.org/entity/Q123851139,https://queerlit.dh.gu.se/qlit/v1/dy39os96
449,http://www.wikidata.org/entity/Q322170,https://queerlit.dh.gu.se/qlit/v1/qy58fc22
450,http://www.wikidata.org/entity/Q205647,https://queerlit.dh.gu.se/qlit/v1/up70lp68
451,http://www.wikidata.org/entity/Q123851484,https://queerlit.dh.gu.se/qlit/v1/pz10lk70
452,http://www.wikidata.org/entity/Q7239230,https://queerlit.dh.gu.se/qlit/v1/mq18hn87
454,http://www.wikidata.org/entity/Q1537534,https://queerlit.dh.gu.se/qlit/v1/sd59fm82
457,http://www.wikidata.org/entity/Q123851356,https://queerlit.dh.gu.se/qlit/v1/lm49rl65
458,http://www.wikidata.org/entity/Q10832,https://queerlit.dh.gu.se/qlit/v1/ht02we27
459,http://www.wikidata.org/entity/Q184211,https://queerlit.dh.gu.se/qlit/v1/bv98lh92
460,http://www.wikidata.org/entity/Q123851733,https://queerlit.dh.gu.se/qlit/v1/yj97ew44
461,http://www.wikidata.org/entity/Q457251,https://queerlit.dh.gu.se/qlit/v1/bv70bv30
466,http://www.wikidata.org/entity/Q208373,https://queerlit.dh.gu.se/qlit/v1/wk81dt63
467,http://www.wikidata.org/entity/Q35535,https://queerlit.dh.gu.se/qlit/v1/os99go07
471,http://www.wikidata.org/entity/Q8458,https://queerlit.dh.gu.se/qlit/v1/qs37gp76
473,http://www.wikidata.org/entity/Q11364,https://queerlit.dh.gu.se/qlit/v1/so20eo06
474,http://www.wikidata.org/entity/Q918319,https://queerlit.dh.gu.se/qlit/v1/yl85hr37
475,http://www.wikidata.org/entity/Q167918,https://queerlit.dh.gu.se/qlit/v1/xx44cw56
476,http://www.wikidata.org/entity/Q123851207,https://queerlit.dh.gu.se/qlit/v1/gx90ki07
483,http://www.wikidata.org/entity/Q845799,https://queerlit.dh.gu.se/qlit/v1/qw72dw59
484,http://www.wikidata.org/entity/Q123851407,https://queerlit.dh.gu.se/qlit/v1/nm13zo20
485,http://www.wikidata.org/entity/Q123851537,https://queerlit.dh.gu.se/qlit/v1/rh94xr73
487,http://www.wikidata.org/entity/Q550675,https://queerlit.dh.gu.se/qlit/v1/zm70cc59
488,http://www.wikidata.org/entity/Q1165905,https://queerlit.dh.gu.se/qlit/v1/iy93lr17
489,http://www.wikidata.org/entity/Q123851120,https://queerlit.dh.gu.se/qlit/v1/cy11ub78
490,http://www.wikidata.org/entity/Q15404978,https://queerlit.dh.gu.se/qlit/v1/aq42lk11
505,http://www.wikidata.org/entity/Q123851349,https://queerlit.dh.gu.se/qlit/v1/lj78ol14
506,http://www.wikidata.org/entity/Q123851454,https://queerlit.dh.gu.se/qlit/v1/pm55yu20
508,http://www.wikidata.org/entity/Q123851166,https://queerlit.dh.gu.se/qlit/v1/ew86op35
509,http://www.wikidata.org/entity/Q123851510,https://queerlit.dh.gu.se/qlit/v1/qo99it05
510,http://www.wikidata.org/entity/Q666791,https://queerlit.dh.gu.se/qlit/v1/aa40zb14
513,http://www.wikidata.org/entity/Q123851669,https://queerlit.dh.gu.se/qlit/v1/vu62yz77
515,http://www.wikidata.org/entity/Q123851273,https://queerlit.dh.gu.se/qlit/v1/ir89ck62
517,http://www.wikidata.org/entity/Q123851499,https://queerlit.dh.gu.se/qlit/v1/qh24te87
518,http://www.wikidata.org/entity/Q835137,https://queerlit.dh.gu.se/qlit/v1/gs35mz40
520,http://www.wikidata.org/entity/Q123851229,https://queerlit.dh.gu.se/qlit/v1/hi88il01
521,http://www.wikidata.org/entity/Q123851375,https://queerlit.dh.gu.se/qlit/v1/mk46kv76
523,http://www.wikidata.org/entity/Q967839,https://queerlit.dh.gu.se/qlit/v1/am70ft34
526,http://www.wikidata.org/entity/Q123851127,https://queerlit.dh.gu.se/qlit/v1/df78pd63
527,http://www.wikidata.org/entity/Q5318684,https://queerlit.dh.gu.se/qlit/v1/ri80nw20
528,http://www.wikidata.org/entity/Q123851202,https://queerlit.dh.gu.se/qlit/v1/gl76ac31
530,http://www.wikidata.org/entity/Q123851342,https://queerlit.dh.gu.se/qlit/v1/lf94dz65
533,http://www.wikidata.org/entity/Q1806228,https://queerlit.dh.gu.se/qlit/v1/zj98an94
540,http://www.wikidata.org/entity/Q123851641,https://queerlit.dh.gu.se/qlit/v1/um15fy01
544,http://www.wikidata.org/entity/Q123851233,https://queerlit.dh.gu.se/qlit/v1/hp00qz40
547,http://www.wikidata.org/entity/Q123851223,https://queerlit.dh.gu.se/qlit/v1/hg41ea96
551,http://www.wikidata.org/entity/Q123851760,https://queerlit.dh.gu.se/qlit/v1/zl81mx49
555,http://www.wikidata.org/entity/Q123851380,https://queerlit.dh.gu.se/qlit/v1/mo36hy57
556,http://www.wikidata.org/entity/Q123851402,https://queerlit.dh.gu.se/qlit/v1/nj44aa03
557,http://www.wikidata.org/entity/Q17004012,https://queerlit.dh.gu.se/qlit/v1/ae55cm31
559,http://www.wikidata.org/entity/Q123851512,https://queerlit.dh.gu.se/qlit/v1/qq09uc15
560,http://www.wikidata.org/entity/Q123851464,https://queerlit.dh.gu.se/qlit/v1/po00wj87
561,http://www.wikidata.org/entity/Q10807,https://queerlit.dh.gu.se/qlit/v1/wl92mo41
563,http://www.wikidata.org/entity/Q123851552,https://queerlit.dh.gu.se/qlit/v1/rn71bp03
565,http://www.wikidata.org/entity/Q7833678,https://queerlit.dh.gu.se/qlit/v1/wv80np39
568,http://www.wikidata.org/entity/Q28130022,https://queerlit.dh.gu.se/qlit/v1/hc77dd42
570,http://www.wikidata.org/entity/Q123851243,https://queerlit.dh.gu.se/qlit/v1/ib01vo16
574,http://www.wikidata.org/entity/Q123851303,https://queerlit.dh.gu.se/qlit/v1/jq54pz13
575,http://www.wikidata.org/entity/Q123851736,https://queerlit.dh.gu.se/qlit/v1/ym29ed45
577,http://www.wikidata.org/entity/Q123851067,https://queerlit.dh.gu.se/qlit/v1/bk45ul19
578,http://www.wikidata.org/entity/Q116462242,https://queerlit.dh.gu.se/qlit/v1/pu79ko70
585,http://www.wikidata.org/entity/Q722735,https://queerlit.dh.gu.se/qlit/v1/gn70nk07
587,http://www.wikidata.org/entity/Q5891541,https://queerlit.dh.gu.se/qlit/v1/qb27dx51
590,http://www.wikidata.org/entity/Q123851519,https://queerlit.dh.gu.se/qlit/v1/qy59io46
591,http://www.wikidata.org/entity/Q2914207,https://queerlit.dh.gu.se/qlit/v1/ps08qr95
