Wikidata_Entity,rdfs:label,skos:altLabel,Entities_in_graph_QLIT,prefLabel_in_English_in_graph_QLIT,altLabel_in_English_in_graph_QLIT
http://www.wikidata.org/entity/Q30072520,['butch'],[],https://queerlit.dh.gu.se/qlit/v1/tx04hr81,['Butchar'],['Kvinnlig maskulinitet']
http://www.wikidata.org/entity/Q123851065,['Partners (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/bi99oj90,['Partners (hbtqi)'],[]
http://www.wikidata.org/entity/Q903453,['avkriminalisering'],[],https://queerlit.dh.gu.se/qlit/v1/ve99hw59,['Avkriminalisering'],['Dekriminalisering']
http://www.wikidata.org/entity/Q123851597,['Latines (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/sl84ac44,['Latines (hbtqi)'],"['Chican@s (hbtqi)', 'Chicanas (hbtqi)', 'Chicanos (hbtqi)', 'Latin@ (hbtqi)', 'Latin@s (hbtqi)', 'Latinamerikaner (hbtqi)', 'Latinas (hbtqi)', 'Latinos (hbtqi)', 'Latinx (hbtqi)', 'Latinxs (hbtqi)']"
http://www.wikidata.org/entity/Q1076509,['maskulinitet'],['manlighet'],https://queerlit.dh.gu.se/qlit/v1/cm18bw55,['Maskulinitet'],['Manlighet']
http://www.wikidata.org/entity/Q191778,['celibat'],['Prästäktenskap'],https://queerlit.dh.gu.se/qlit/v1/jc34hl12,['Celibat'],[]
http://www.wikidata.org/entity/Q123851234,['Äldre lesbiska'],[],https://queerlit.dh.gu.se/qlit/v1/hq85ud85,['Äldre lesbiska'],"['Gamla homosexuella kvinnor', 'Gamla lesbiska', 'Äldre homosexuella kvinnor']"
http://www.wikidata.org/entity/Q9384,['testikel'],[],https://queerlit.dh.gu.se/qlit/v1/ge40xr58,['Testiklar'],['Pungkulor']
http://www.wikidata.org/entity/Q11920938,['civilstånd'],[],https://queerlit.dh.gu.se/qlit/v1/uh63yy69,['Civilstånd'],[]
http://www.wikidata.org/entity/Q123851252,['Döva HBTQI-personer'],[],https://queerlit.dh.gu.se/qlit/v1/if59po81,['Döva hbtqi-personer'],"['Döva (hbtqi)', 'Dövstumma (hbtqi)', 'Dövstumma hbtqi-personer']"
http://www.wikidata.org/entity/Q123851047,['Äldre transpersoner'],[],https://queerlit.dh.gu.se/qlit/v1/ao42ia99,['Äldre transpersoner'],['Gamla transpersoner']
http://www.wikidata.org/entity/Q180225,['korsett'],['snörliv'],https://queerlit.dh.gu.se/qlit/v1/fj02md55,['Korsetter'],[]
http://www.wikidata.org/entity/Q442358,['tillfälligt sex'],[],https://queerlit.dh.gu.se/qlit/v1/mc07qj43,['Tillfälligt sex'],[]
http://www.wikidata.org/entity/Q3851652,['Bröstförstoring'],[],https://queerlit.dh.gu.se/qlit/v1/hj31eb45,['Bröstförstoring'],['Bröstaugmentation']
http://www.wikidata.org/entity/Q123851393,['Lesbiska föräldrar'],[],https://queerlit.dh.gu.se/qlit/v1/nc14hs94,['Lesbiska föräldrar'],"['Homosexuella mammor', 'Homosexuella mödrar', 'Lesbiska mammor', 'Lesbiska mödrar']"
http://www.wikidata.org/entity/Q49773,['folkrörelse'],[],https://queerlit.dh.gu.se/qlit/v1/sw59hr91,['Sociala rörelser'],[]
http://www.wikidata.org/entity/Q7675376,['gruppsex'],[],https://queerlit.dh.gu.se/qlit/v1/hv71in35,['Gruppsex'],"['Orgier', 'Trekanter']"
http://www.wikidata.org/entity/Q308857,['misogyni'],"['misogynin', 'Misogyn']",https://queerlit.dh.gu.se/qlit/v1/br29ok75,['Misogyni'],['Kvinnohat']
http://www.wikidata.org/entity/Q625145,['hårborttagning'],"['depilera', 'depilering']",https://queerlit.dh.gu.se/qlit/v1/mg46bp53,['Hårborttagning'],[]
http://www.wikidata.org/entity/Q123851746,['Döden och döende (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/yu17am57,['Döden och döende (hbtqi)'],[]
http://www.wikidata.org/entity/Q123851627,['Äggdonatorer'],[],https://queerlit.dh.gu.se/qlit/v1/tz25ps34,['Äggdonatorer'],[]
http://www.wikidata.org/entity/Q318529,['säkrare sex'],['safe sex'],https://queerlit.dh.gu.se/qlit/v1/um93rl06,['Säkrare sex'],['Säkert sex']
http://www.wikidata.org/entity/Q1072080,['barns sexualitet'],[],https://queerlit.dh.gu.se/qlit/v1/zo32gs01,['Barns sexualitet'],[]
http://www.wikidata.org/entity/Q6636,['homosexualitet'],[],https://queerlit.dh.gu.se/qlit/v1/cr97jg35,['Homosexualitet'],"['Kvinnlig homosexualitet', 'Lesbianism', 'Manlig homosexualitet']"
http://www.wikidata.org/entity/Q213456,['könskörtel'],"['gonader', 'könskörtlar', 'gonad']",https://queerlit.dh.gu.se/qlit/v1/op26io85,['Könskörtlar'],[]
http://www.wikidata.org/entity/Q210604,['Kvinnor som har sex med kvinnor'],[],https://queerlit.dh.gu.se/qlit/v1/dq66qs98,['Kvinnor som har sex med kvinnor'],"['KSK', 'Samkönsälskande kvinnor']"
http://www.wikidata.org/entity/Q123851331,['Uttrar (identitet)'],[],https://queerlit.dh.gu.se/qlit/v1/ku32od34,['Uttrar (identitet)'],[]
http://www.wikidata.org/entity/Q48264,['könsidentitet'],[],https://queerlit.dh.gu.se/qlit/v1/op23ar73,['Könsidentitet'],[]
http://www.wikidata.org/entity/Q109501952,['asexuella'],[],https://queerlit.dh.gu.se/qlit/v1/zq29sy82,['Asexuella'],['Aces']
http://www.wikidata.org/entity/Q123851044,['Bisexualitetsstudier'],[],https://queerlit.dh.gu.se/qlit/v1/ai05xa65,['Bisexualitetsstudier'],['Bisexualitetsforskning']
http://www.wikidata.org/entity/Q3603531,['barnbarn'],[],https://queerlit.dh.gu.se/qlit/v1/jw97cl99,['Barnbarn'],[]
http://www.wikidata.org/entity/Q123851665,['Stealth (transpersoner)'],[],https://queerlit.dh.gu.se/qlit/v1/vr41yw40,['Stealth (transpersoner)'],['Garderobstranspersoner']
http://www.wikidata.org/entity/Q26791,['Faghag'],"['Fag hag', 'Fag-hag']",https://queerlit.dh.gu.se/qlit/v1/vs11js01,['Faghags'],[]
http://www.wikidata.org/entity/Q2672163,['könsroll'],[],https://queerlit.dh.gu.se/qlit/v1/xw31re99,['Könsroller'],[]
http://www.wikidata.org/entity/Q264965,['subkultur'],[],https://queerlit.dh.gu.se/qlit/v1/px93xp25,['Subkulturer'],[]
http://www.wikidata.org/entity/Q123851329,['Hormonbehandling (kön)'],[],https://queerlit.dh.gu.se/qlit/v1/kq81ui59,['Hormonbehandling (kön)'],"['Testosteronbehandling', 'Östrogenbehandling']"
http://www.wikidata.org/entity/Q123851474,['Donatorer (medicin)'],[],https://queerlit.dh.gu.se/qlit/v1/pt39jk21,['Donatorer (medicin)'],[]
http://www.wikidata.org/entity/Q640990,['telefonsex'],[],https://queerlit.dh.gu.se/qlit/v1/vn09ak57,['Telefonsex'],[]
http://www.wikidata.org/entity/Q123851747,['Bisexuella familjer'],[],https://queerlit.dh.gu.se/qlit/v1/yv06is50,['Bisexuella familjer'],[]
http://www.wikidata.org/entity/Q15808,['handbojor'],['handfängsel'],https://queerlit.dh.gu.se/qlit/v1/an00td75,['Handklovar'],['Handbojor']
http://www.wikidata.org/entity/Q210749,['anilingus'],"['Rimming', 'Rimjob', 'Rim job', 'Analingus', 'Slicka röv']",https://queerlit.dh.gu.se/qlit/v1/ex44dm42,['Rimming'],"['Anilingus', 'Rimning']"
http://www.wikidata.org/entity/Q123851572,['Intersexbarn'],[],https://queerlit.dh.gu.se/qlit/v1/rw98mz62,['Intersexbarn'],[]
http://www.wikidata.org/entity/Q36224,['pronomen'],[],https://queerlit.dh.gu.se/qlit/v1/kx15ll15,['Pronomen'],"['De', 'Den', 'Han', 'Hen', 'Hon', 'Personliga pronomen', 'Personliga pronomina', 'Pronomina']"
